DB_ID,reference,DOI,site_id,date,year,site_description,catchment_name,compound,d13C_value_permil,d13C_uncertainty,d13C_uncertainty_unit,dD-CH4_value_permil,dD-CH4_uncertainty,dD-CH4_uncertainty_unit,pub_code_prefix,pub_code_number,F14C_value,F14C_value_uncertainity,F14C_value_uncertainity_unit,D14C_permil_value,D14C_permil_value_uncertainty,D14C_permil_value_uncertaint_unit,radiocarbon_age,radiocarbon_age_uncertainty,pH,latitude,longitude,country,hemisphere,Atm_14CO2,norm_F14C,water_type,method,comment,temperature_celsius,coordinate_flag,uncertainity flag,watershed_size_exact_km2,watershed_size_indicative_km2,size_class,catchment_area_km2,dis_m3_pyr,lka_pc_use,ele_mt_uav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,ari_ix_uav,snw_pc_uyr,wet_pc_ug2,for_pc_use,crp_pc_use,pst_pc_use,ire_pc_use,gla_pc_use,prm_pc_use,cly_pc_uav,slt_pc_uav,snd_pc_uav,soc_th_uav,kar_pc_use,ero_kh_uav,urb_pc_use,hft_ix_u09,ele_mt_cav,tmp_dc_cyr,pre_mm_cyr,ari_ix_cav,snw_pc_cyr,wet_pc_cg2,for_pc_cse,crp_pc_cse,pst_pc_cse,ire_pc_cse,gla_pc_cse,prm_pc_cse,cly_pc_cav,slt_pc_cav,snd_pc_cav,soc_th_cav,kar_pc_cse,ero_kh_cav,urb_pc_cse,hft_ix_c09,gwt_cm_cav,tbi_cl_cmj,fmh_cl_cmj,lit_cl_cmj,DIC_conc
11,"Aravena, R., S. L. Schiff, S. E. Trumbore, P. I. Dillon, and R. Elgood (1992). Evaluating dissolved inorganic carbon cycling in a forested lake watershed using carbon isotopes, Radiocarbon, 34, 636-645.",https://doi.org/10.1017/S003382220006392X,5,1991-01-01,1991,Stream,Harp Basin,DIC,-22.9,0.2,permil,,,,,,1.1600,0.0100,fraction modern,157,10.0,permil,modern,,,45.384128,-79.13063,Canada,N,1.1437,1.0143,Stream,Collected and directly acidified for analysis ,,,C,A,,4,small,27.5,0.271,198,334,33,46,983,121,32,0,75,0,0,0,0,0,6,33,58,94,0,88,0,102,334,46,983,121,32,0,75,0,0,0,0,0,7,34,59,94,0,88,0,102,203,4,1,8,70.7743547
12,"Aravena, R., S. L. Schiff, S. E. Trumbore, P. I. Dillon, and R. Elgood (1992). Evaluating dissolved inorganic carbon cycling in a forested lake watershed using carbon isotopes, Radiocarbon, 34, 636-645.",https://doi.org/10.1017/S003382220006392X,4,1991-01-01,1991,Stream,Harp Basin,DIC,-20.0,0.2,permil,,,,,,1.1100,0.0100,fraction modern,102,10.0,permil,modern,,,45.380527,-79.14236,Canada,N,1.1437,0.9705,Stream,Collected and directly acidified for analysis ,,,C,A,,3,small,27.5,0.271,198,334,33,46,983,121,32,0,75,0,0,0,0,0,6,33,58,94,0,88,0,102,334,46,983,121,32,0,75,0,0,0,0,0,7,34,59,94,0,88,0,102,203,4,1,8,41.63197336
13,"Aravena, R., S. L. Schiff, S. E. Trumbore, P. I. Dillon, and R. Elgood (1992). Evaluating dissolved inorganic carbon cycling in a forested lake watershed using carbon isotopes, Radiocarbon, 34, 636-645.",https://doi.org/10.1017/S003382220006392X,4_21,1991-01-01,1991,Stream,Harp Basin,DIC,-19.0,0.2,permil,,,,,,1.1800,0.0100,fraction modern,174,10.0,permil,modern,,,45.377401,-79.143655,Canada,N,1.1437,1.0318,Stream,Collected and directly acidified for analysis ,,,C,A,,0.25,small,27.5,0.271,198,334,33,46,983,121,32,0,75,0,0,0,0,0,6,33,58,94,0,88,0,102,334,46,983,121,32,0,75,0,0,0,0,0,7,34,59,94,0,88,0,102,203,4,1,8,910.9
14,"Bianchi, T. S., Butman, D., Raymond, P. A., Ward, N. D., Kates, R. J. S., Flessa, K. W., Zamora, H., Arellano, A. R., Ramirez, J., and Rodriguez, E. (2017), The experimental flow to the Colorado River delta: Effects on carbon mobilization in a dry watercourse, J. Geophys. Res. Biogeosci., 122, 607 627.",https://doi.org/10.1002/2016JG003555,1,2014-03-24,2014,River,Colorado River,DIC,-7.0,0.1,permil,,,,,,0.8940,0.0060,fraction modern,-113,3.0,permil,900,54.5,,32.71731647,-114.721034,USA,N,1.0262,0.8712,River,Collected in syringe and filtered throug GF filters,"Water pulse deliberately released upstream for environmental reasons, Assumed 13C and 14C uncertainties",,C,B,,600000,large,615788.5,343.454,3,1707,65,108,333,29,11,1,33,2,54,2,0,0,17,33,49,21,12,1967,1,46,56,227,71,4,0,0,0,15,37,38,0,0,19,30,51,6,0,623,7,292,215,13,4,1,2306.411324
15,"Bianchi, T. S., Butman, D., Raymond, P. A., Ward, N. D., Kates, R. J. S., Flessa, K. W., Zamora, H., Arellano, A. R., Ramirez, J., and Rodriguez, E. (2017), The experimental flow to the Colorado River delta: Effects on carbon mobilization in a dry watercourse, J. Geophys. Res. Biogeosci., 122, 607 627.",https://doi.org/10.1002/2016JG003555,1,2014-04-01,2014,River,Colorado River,DIC,-7.2,0.1,permil,,,,,,0.8742,0.0060,fraction modern,-133,3.0,permil,1080,55.5,,32.71731647,-114.721034,USA,N,1.0262,0.8519,River,Collected in syringe and filtered throug GF filters,"Water pulse deliberately released upstream for environmental reasons, Assumed 13C and 14C uncertainties",,C,B,,600000,large,615788.5,343.454,3,1707,65,108,333,29,11,1,33,2,54,2,0,0,17,33,49,21,12,1967,1,46,56,227,71,4,0,0,0,15,37,38,0,0,19,30,51,6,0,623,7,292,215,13,4,1,2323.064113
16,"Bianchi, T. S., Butman, D., Raymond, P. A., Ward, N. D., Kates, R. J. S., Flessa, K. W., Zamora, H., Arellano, A. R., Ramirez, J., and Rodriguez, E. (2017), The experimental flow to the Colorado River delta: Effects on carbon mobilization in a dry watercourse, J. Geophys. Res. Biogeosci., 122, 607 627.",https://doi.org/10.1002/2016JG003555,1,2014-04-17,2014,River,Colorado River,DIC,7.6,0.1,permil,,,,,,0.8962,0.0060,fraction modern,-111,3.0,permil,880,54,,32.71731647,-114.721034,USA,N,1.0262,0.8734,River,Collected in syringe and filtered throug GF filters,"Water pulse deliberately released upstream for environmental reasons, Assumed 13C and 14C uncertainties",,C,B,,600000,large,615788.5,343.454,3,1707,65,108,333,29,11,1,33,2,54,2,0,0,17,33,49,21,12,1967,1,46,56,227,71,4,0,0,0,15,37,38,0,0,19,30,51,6,0,623,7,292,215,13,4,1,1332.223147
17,"Bianchi, T. S., Butman, D., Raymond, P. A., Ward, N. D., Kates, R. J. S., Flessa, K. W., Zamora, H., Arellano, A. R., Ramirez, J., and Rodriguez, E. (2017), The experimental flow to the Colorado River delta: Effects on carbon mobilization in a dry watercourse, J. Geophys. Res. Biogeosci., 122, 607 627.",https://doi.org/10.1002/2016JG003555,2,2014-04-17,2014,River,Colorado River,DIC,-8.5,0.1,permil,,,,,,0.8923,0.0060,fraction modern,-115,3.0,permil,915,54.5,,32.67247721,-114.746448,USA,N,1.0262,0.8696,River,Collected in syringe and filtered throug GF filters,"Water pulse deliberately released upstream for environmental reasons, Assumed 13C and 14C uncertainties",,C,B,,610000,large,615852.3,314.859,3,1706,65,108,333,29,11,1,33,2,54,2,0,0,17,33,49,21,12,1967,1,46,38,225,69,4,0,0,0,34,18,69,0,0,20,30,50,6,0,350,26,380,65,13,4,1,
18,"Bianchi, T. S., Butman, D., Raymond, P. A., Ward, N. D., Kates, R. J. S., Flessa, K. W., Zamora, H., Arellano, A. R., Ramirez, J., and Rodriguez, E. (2017), The experimental flow to the Colorado River delta: Effects on carbon mobilization in a dry watercourse, J. Geophys. Res. Biogeosci., 122, 607 627.",https://doi.org/10.1002/2016JG003555,3,2014-03-25,2014,River,Colorado River,DIC,-8.0,0.1,permil,,,,,,0.8907,0.0060,fraction modern,-116,3.0,permil,930,54.5,,32.52443838,-114.8074244,USA,N,1.0262,0.8679,River,Collected in syringe and filtered throug GF filters,"Water pulse deliberately released upstream for environmental reasons, Assumed 13C and 14C uncertainties",,C,B,,620000,large,617242.3,127.476,3,1703,65,109,333,29,11,1,33,2,53,2,0,0,17,33,49,21,12,1964,1,46,26,228,71,4,0,0,0,26,8,43,0,0,18,28,54,5,0,179,21,261,49,13,4,3,1865.112406
19,"Bianchi, T. S., Butman, D., Raymond, P. A., Ward, N. D., Kates, R. J. S., Flessa, K. W., Zamora, H., Arellano, A. R., Ramirez, J., and Rodriguez, E. (2017), The experimental flow to the Colorado River delta: Effects on carbon mobilization in a dry watercourse, J. Geophys. Res. Biogeosci., 122, 607 627.",https://doi.org/10.1002/2016JG003555,3,2014-03-31,2014,River,Colorado River,DIC,-7.6,0.1,permil,,,,,,0.8890,0.0060,fraction modern,-118,3.0,permil,945,54.5,,32.52443838,-114.8074244,USA,N,1.0262,0.8663,River,Collected in syringe and filtered throug GF filters,"Water pulse deliberately released upstream for environmental reasons, Assumed 13C and 14C uncertainties",,C,B,,620000,large,617242.3,127.476,3,1703,65,109,333,29,11,1,33,2,53,2,0,0,17,33,49,21,12,1964,1,46,26,228,71,4,0,0,0,26,8,43,0,0,18,28,54,5,0,179,21,261,49,13,4,3,1898.417985
20,"Bianchi, T. S., Butman, D., Raymond, P. A., Ward, N. D., Kates, R. J. S., Flessa, K. W., Zamora, H., Arellano, A. R., Ramirez, J., and Rodriguez, E. (2017), The experimental flow to the Colorado River delta: Effects on carbon mobilization in a dry watercourse, J. Geophys. Res. Biogeosci., 122, 607 627.",https://doi.org/10.1002/2016JG003555,4,2014-03-29,2014,River,Colorado River,DIC,-7.5,0.1,permil,,,,,,0.8846,0.0060,fraction modern,-122,3.0,permil,985,55,,32.4797526,-114.8256109,Mexico,N,1.0262,0.8620,River,Collected in syringe and filtered throug GF filters,"Water pulse deliberately released upstream for environmental reasons, Assumed 13C and 14C uncertainties",,C,B,,630000,large,617242.3,127.476,3,1703,65,109,333,29,11,1,33,2,53,2,0,0,17,33,49,21,12,1964,1,46,26,228,71,4,0,0,0,26,8,43,0,0,18,28,54,5,0,179,21,261,49,13,4,3,1457.119067
21,"Bianchi, T. S., Butman, D., Raymond, P. A., Ward, N. D., Kates, R. J. S., Flessa, K. W., Zamora, H., Arellano, A. R., Ramirez, J., and Rodriguez, E. (2017), The experimental flow to the Colorado River delta: Effects on carbon mobilization in a dry watercourse, J. Geophys. Res. Biogeosci., 122, 607 627.",https://doi.org/10.1002/2016JG003555,4,2014-04-17,2014,River,Colorado River,DIC,-8.5,0.1,permil,,,,,,0.9063,0.0060,fraction modern,-101,3.0,permil,790,53.5,,32.4797526,-114.8256109,Mexico,N,1.0262,0.8832,River,Collected in syringe and filtered throug GF filters,"Water pulse deliberately released upstream for environmental reasons, Assumed 13C and 14C uncertainties",,C,B,,630000,large,617242.3,127.476,3,1703,65,109,333,29,11,1,33,2,53,2,0,0,17,33,49,21,12,1964,1,46,26,228,71,4,0,0,0,26,8,43,0,0,18,28,54,5,0,179,21,261,49,13,4,3,2789.342215
22,"Bianchi, T. S., Butman, D., Raymond, P. A., Ward, N. D., Kates, R. J. S., Flessa, K. W., Zamora, H., Arellano, A. R., Ramirez, J., and Rodriguez, E. (2017), The experimental flow to the Colorado River delta: Effects on carbon mobilization in a dry watercourse, J. Geophys. Res. Biogeosci., 122, 607 627.",https://doi.org/10.1002/2016JG003555,5,2014-04-17,2014,River,Colorado River,DIC,-6.8,0.1,permil,,,,,,0.8808,0.0060,fraction modern,-126,3.0,permil,1020,55,,32.48259204,-114.9338813,Mexico,N,1.0262,0.8583,River,Collected in syringe and filtered throug GF filters,"Water pulse deliberately released upstream for environmental reasons, Assumed 13C and 14C uncertainties",,C,B,,640000,large,617438,127.377,3,1702,65,109,333,29,11,1,33,2,53,2,0,0,17,33,49,21,12,1964,1,46,21,228,72,4,0,0,0,21,12,46,0,0,19,28,53,4,0,244,0,141,33,13,4,3,2489.592007
23,"Billett, M. and Garnett, M., (2010). Isotopic composition of carbon dioxide lost by evasion from surface water to the atmosphere: Methodological comparison of a direct and indirect approach. Limnology and Oceanography: Methods, 8(2), 45-53.",https://doi.org/10.4319/lom.2010.8.45,A2,2006-02-28,2006,Peatland Stream ,Black Burn,DIC,-22.8,0.1,permil,,,,SUERC,10446,0.9504,0.0041,1 sd,-56,8.1,permil,458,35,6.24,55.79333,-3.244722,United Kingdom,N,1.0619,0.8950,Stream,Chamber evasion linked to zeolite molecular sieve,"Original measured value, fm is chamber measured and age corrected using gas flux method ",2.7,C,A,0.1,0.1,small,6.4,0.139,0,267,14,75,925,158,18,0,0,26,58,0,0,0,14,36,49,104,0,138,0,185,267,75,925,158,18,0,0,26,58,0,0,0,14,36,49,104,0,138,0,185,84,4,5,5,712.3
24,"Billett, M. and Garnett, M., (2010). Isotopic composition of carbon dioxide lost by evasion from surface water to the atmosphere: Methodological comparison of a direct and indirect approach. Limnology and Oceanography: Methods, 8(2), 45-53.",https://doi.org/10.4319/lom.2010.8.45,A2,2006-05-29,2006,Peatland Stream ,Black Burn,DIC,-17.2,0.1,permil,,,,SUERC,10990,0.9423,0.0041,1 sd,-64,8.1,permil,537,35,6.24,55.79333,-3.244722,United Kingdom,N,1.0619,0.8874,Stream,Chamber evasion linked to zeolite molecular sieve,Original measured value,9.3,C,A,0.1,0.1,small,6.4,0.139,0,267,14,75,925,158,18,0,0,26,58,0,0,0,14,36,49,104,0,138,0,185,267,75,925,158,18,0,0,26,58,0,0,0,14,36,49,104,0,138,0,185,84,4,5,5,858.4
25,"Billett, M. and Garnett, M., (2010). Isotopic composition of carbon dioxide lost by evasion from surface water to the atmosphere: Methodological comparison of a direct and indirect approach. Limnology and Oceanography: Methods, 8(2), 45-53.",https://doi.org/10.4319/lom.2010.8.45,A10,2006-02-28,2006,Peatland Stream ,Black Burn,DIC,-17.4,0.1,permil,,,,SUERC,10447,0.9149,0.0040,1 sd,-91,7.9,permil,1067,35,5.87,55.79333,-3.244722,United Kingdom,N,1.0619,0.8616,Stream,Chamber evasion linked to zeolite molecular sieve,"Original measured value, fm is chamber measured and age corrected using gas flux method ",1.4,C,A,3.4,3.4,small,6.4,0.139,0,267,14,75,925,158,18,0,0,26,58,0,0,0,14,36,49,104,0,138,0,185,267,75,925,158,18,0,0,26,58,0,0,0,14,36,49,104,0,138,0,185,84,4,5,5,481.8
26,"Billett, M. and Garnett, M., (2010). Isotopic composition of carbon dioxide lost by evasion from surface water to the atmosphere: Methodological comparison of a direct and indirect approach. Limnology and Oceanography: Methods, 8(2), 45-53.",https://doi.org/10.4319/lom.2010.8.45,A10,2006-05-29,2006,Peatland Stream ,Black Burn,DIC,-16.7,0.1,permil,,,,SUERC,10991,0.8951,0.0039,1 sd,-111,7.7,permil,1039,35,6.37,55.79333,-3.244722,United Kingdom,N,1.0619,0.8429,Stream,Chamber evasion linked to zeolite molecular sieve,"Original measured value, fm is chamber measured and age corrected using gas flux method ",10.1,C,A,3.4,3.4,small,6.4,0.139,0,267,14,75,925,158,18,0,0,26,58,0,0,0,14,36,49,104,0,138,0,185,267,75,925,158,18,0,0,26,58,0,0,0,14,36,49,104,0,138,0,185,84,4,5,5,387.6
27,"Billett, M. and Garnett, M., (2010). Isotopic composition of carbon dioxide lost by evasion from surface water to the atmosphere: Methodological comparison of a direct and indirect approach. Limnology and Oceanography: Methods, 8(2), 45-53.",https://doi.org/10.4319/lom.2010.8.45,CHS,2006-04-19,2006,Peatland headwater,Cottage Hill Sike,DIC,-16.7,0.1,permil,,,,SUERC,10992,0.8095,0.0035,1 sd,-196,7.0,permil,2188,35,4.20,54.45127927,-2.90065909,United Kingdom,N,1.0619,0.7623,Stream,Chamber evasion linked to zeolite molecular sieve,"Original measured value, fm is chamber measured and age corrected using gas flux method ",6.5,C,A,0.2,0.2,small,4.6,0.145,0,407,192,66,1316,227,10,0,0,0,45,0,0,0,15,37,47,129,0,5428,0,89,407,66,1316,227,10,0,0,0,45,0,0,0,15,37,47,129,0,5428,0,89,647,4,7,6,528.3
28,"Billett, M. and Garnett, M., (2010). Isotopic composition of carbon dioxide lost by evasion from surface water to the atmosphere: Methodological comparison of a direct and indirect approach. Limnology and Oceanography: Methods, 8(2), 45-53.",https://doi.org/10.4319/lom.2010.8.45,CHS,2006-07-27,2006,Peatland headwater,Cottage Hill Sike,DIC,-15.5,0.1,permil,,,,SUERC,11713,0.8742,0.0038,1 sd,-132,7.5,permil,1156,35,5.59,54.45127927,-2.90065909,United Kingdom,N,1.0619,0.8232,Stream,Chamber evasion linked to zeolite molecular sieve,"Original measured value, fm is chamber measured and age corrected using gas flux method ",19.9,C,A,0.2,0.2,small,4.6,0.145,0,407,192,66,1316,227,10,0,0,0,45,0,0,0,15,37,47,129,0,5428,0,89,407,66,1316,227,10,0,0,0,45,0,0,0,15,37,47,129,0,5428,0,89,647,4,7,6,1053.1
29,"Billett, M. and Garnett, M., (2010). Isotopic composition of carbon dioxide lost by evasion from surface water to the atmosphere: Methodological comparison of a direct and indirect approach. Limnology and Oceanography: Methods, 8(2), 45-53.",https://doi.org/10.4319/lom.2010.8.45,A2,2006-02-28,2006,Peatland Stream ,Black Burn,CO2,-22.6,0.1,permil,,,,SUERC,9962,0.9529,0.0042,1 sd,-54,8.3,permil,380,35,6.24,55.79333,-3.244722,United Kingdom,N,1.0619,0.8973,Stream,Chamber evasion linked to zeolite molecular sieve,"gas flux method of correction applied, fm is chamber measured and age corrected using gas flux method ",2.7,C,A,0.1,0.1,small,6.4,0.139,0,267,14,75,925,158,18,0,0,26,58,0,0,0,14,36,49,104,0,138,0,185,267,75,925,158,18,0,0,26,58,0,0,0,14,36,49,104,0,138,0,185,84,4,5,5,
30,"Billett, M. and Garnett, M., (2010). Isotopic composition of carbon dioxide lost by evasion from surface water to the atmosphere: Methodological comparison of a direct and indirect approach. Limnology and Oceanography: Methods, 8(2), 45-53.",https://doi.org/10.4319/lom.2010.8.45,A2,2006-05-29,2006,Peatland Stream ,Black Burn,CO2,-26.0,0.1,permil,,,,SUERC,11220,0.9646,0.0042,1 sd,-42,8.3,permil,288,35,6.24,55.79333,-3.244722,United Kingdom,N,1.0619,0.9084,Stream,Chamber evasion linked to zeolite molecular sieve,"gas flux method of correction applied, fm is chamber measured and age corrected using gas flux method ",9.3,C,A,0.1,0.1,small,6.4,0.139,0,267,14,75,925,158,18,0,0,26,58,0,0,0,14,36,49,104,0,138,0,185,267,75,925,158,18,0,0,26,58,0,0,0,14,36,49,104,0,138,0,185,84,4,5,5,
